0, 1, 2, 3 (420)
0, 1, 2, 4 (408)
0, 1, 2, 5 (410)
0, 1, 2, 6 (409)
0, 1, 2, 7 (426)
0, 1, 2, 8 (422)
0, 1, 2, 9 (415)
0, 1, 2, 10 (399)
0, 1, 2, 11 (407)
0, 1, 2, 12 (411)
0, 1, 2, 13 (389)
0, 1, 2, 14 (391)
0, 1, 2, 15 (399)
0, 1, 2, 16 (400)
0, 1, 2, 17 (404)
0, 1, 2, 18 (401)
0, 1, 2, 19 (420)
0, 1, 2, 20 (403)
0, 1, 2, 21 (396)
0, 1, 2, 22 (418)
0, 1, 2, 23 (423)
0, 1, 2, 24 (402)
0, 1, 2, 25 (431)
0, 1, 3, 4 (428)
0, 1, 3, 5 (421)
0, 1, 3, 6 (412)
0, 1, 3, 7 (435)
0, 1, 3, 8 (430)
0, 1, 3, 9 (444)
0, 1, 3, 10 (419)
0, 1, 3, 11 (439)
0, 1, 3, 12 (426)
0, 1, 3, 13 (419)
0, 1, 3, 14 (416)
0, 1, 3, 15 (384)
0, 1, 3, 16 (403)
0, 1, 3, 17 (425)
0, 1, 3, 18 (403)
0, 1, 3, 19 (412)
0, 1, 3, 20 (434)
0, 1, 3, 21 (412)
0, 1, 3, 22 (414)
0, 1, 3, 23 (462)
0, 1, 3, 24 (414)
0, 1, 3, 25 (436)
0, 1, 4, 5 (408)
0, 1, 4, 6 (397)
0, 1, 4, 7 (430)
0, 1, 4, 8 (425)
0, 1, 4, 9 (423)
0, 1, 4, 10 (406)
0, 1, 4, 11 (427)
0, 1, 4, 12 (399)
0, 1, 4, 13 (402)
0, 1, 4, 14 (429)
0, 1, 4, 15 (409)
0, 1, 4, 16 (379)
0, 1, 4, 17 (419)
0, 1, 4, 18 (415)
0, 1, 4, 19 (418)
0, 1, 4, 20 (404)
0, 1, 4, 21 (381)
0, 1, 4, 22 (432)
0, 1, 4, 23 (434)
0, 1, 4, 24 (412)
0, 1, 4, 25 (426)
0, 1, 5, 6 (419)
0, 1, 5, 7 (406)
0, 1, 5, 8 (426)
0, 1, 5, 9 (411)
0, 1, 5, 10 (420)
0, 1, 5, 11 (409)
0, 1, 5, 12 (399)
0, 1, 5, 13 (412)
0, 1, 5, 14 (408)
0, 1, 5, 15 (400)
0, 1, 5, 16 (399)
0, 1, 5, 17 (397)
0, 1, 5, 18 (416)
0, 1, 5, 19 (433)
0, 1, 5, 20 (405)
0, 1, 5, 21 (408)
0, 1, 5, 22 (410)
0, 1, 5, 23 (425)
0, 1, 5, 24 (425)
0, 1, 5, 25 (421)
0, 1, 6, 7 (436)
0, 1, 6, 8 (416)
0, 1, 6, 9 (438)
0, 1, 6, 10 (418)
0, 1, 6, 11 (435)
0, 1, 6, 12 (421)
0, 1, 6, 13 (426)
0, 1, 6, 14 (409)
0, 1, 6, 15 (406)
0, 1, 6, 16 (406)
0, 1, 6, 17 (449)
0, 1, 6, 18 (431)
0, 1, 6, 19 (432)
0, 1, 6, 20 (414)
0, 1, 6, 21 (421)
0, 1, 6, 22 (398)
0, 1, 6, 23 (436)
0, 1, 6, 24 (421)
0, 1, 6, 25 (439)
0, 1, 7, 8 (438)
0, 1, 7, 9 (448)
0, 1, 7, 10 (430)
0, 1, 7, 11 (455)
0, 1, 7, 12 (433)
0, 1, 7, 13 (431)
0, 1, 7, 14 (445)
0, 1, 7, 15 (406)
0, 1, 7, 16 (433)
0, 1, 7, 17 (441)
0, 1, 7, 18 (431)
0, 1, 7, 19 (428)
0, 1, 7, 20 (435)
0, 1, 7, 21 (447)
0, 1, 7, 22 (438)
0, 1, 7, 23 (457)
0, 1, 7, 24 (438)
0, 1, 7, 25 (447)
0, 1, 8, 9 (448)
0, 1, 8, 10 (437)
0, 1, 8, 11 (429)
0, 1, 8, 12 (401)
0, 1, 8, 13 (394)
0, 1, 8, 14 (436)
0, 1, 8, 15 (412)
0, 1, 8, 16 (415)
0, 1, 8, 17 (428)
0, 1, 8, 18 (427)
0, 1, 8, 19 (445)
0, 1, 8, 20 (406)
0, 1, 8, 21 (428)
0, 1, 8, 22 (420)
0, 1, 8, 23 (445)
0, 1, 8, 24 (439)
0, 1, 8, 25 (434)
0, 1, 9, 10 (417)
0, 1, 9, 11 (437)
0, 1, 9, 12 (418)
0, 1, 9, 13 (403)
0, 1, 9, 14 (452)
0, 1, 9, 15 (405)
0, 1, 9, 16 (404)
0, 1, 9, 17 (443)
0, 1, 9, 18 (427)
0, 1, 9, 19 (427)
0, 1, 9, 20 (423)
0, 1, 9, 21 (423)
0, 1, 9, 22 (413)
0, 1, 9, 23 (462)
0, 1, 9, 24 (432)
0, 1, 9, 25 (451)
0, 1, 10, 11 (426)
0, 1, 10, 12 (431)
0, 1, 10, 13 (403)
0, 1, 10, 14 (428)
0, 1, 10, 15 (388)
0, 1, 10, 16 (410)
0, 1, 10, 17 (421)
0, 1, 10, 18 (439)
0, 1, 10, 19 (407)
0, 1, 10, 20 (418)
0, 1, 10, 21 (407)
0, 1, 10, 22 (422)
0, 1, 10, 23 (453)
0, 1, 10, 24 (424)
0, 1, 10, 25 (433)
0, 1, 11, 12 (425)
0, 1, 11, 13 (435)
0, 1, 11, 14 (428)
0, 1, 11, 15 (409)
0, 1, 11, 16 (412)
0, 1, 11, 17 (430)
0, 1, 11, 18 (424)
0, 1, 11, 19 (425)
0, 1, 11, 20 (434)
0, 1, 11, 21 (422)
0, 1, 11, 22 (415)
0, 1, 11, 23 (461)
0, 1, 11, 24 (426)
0, 1, 11, 25 (438)
0, 1, 12, 13 (417)
0, 1, 12, 14 (408)
0, 1, 12, 15 (389)
0, 1, 12, 16 (404)
0, 1, 12, 17 (414)
0, 1, 12, 18 (411)
0, 1, 12, 19 (396)
0, 1, 12, 20 (418)
0, 1, 12, 21 (390)
0, 1, 12, 22 (408)
0, 1, 12, 23 (421)
0, 1, 12, 24 (441)
0, 1, 12, 25 (438)
0, 1, 13, 14 (404)
0, 1, 13, 15 (409)
0, 1, 13, 16 (384)
0, 1, 13, 17 (418)
0, 1, 13, 18 (420)
0, 1, 13, 19 (404)
0, 1, 13, 20 (420)
0, 1, 13, 21 (408)
0, 1, 13, 22 (407)
0, 1, 13, 23 (437)
0, 1, 13, 24 (416)
0, 1, 13, 25 (417)
0, 1, 14, 15 (400)
0, 1, 14, 16 (408)
0, 1, 14, 17 (446)
0, 1, 14, 18 (433)
0, 1, 14, 19 (417)
0, 1, 14, 20 (418)
0, 1, 14, 21 (404)
0, 1, 14, 22 (422)
